freq,Zimag,sigma_im
0.31622776601683794,-0.67367366653707,8.094345636422418e-06
0.3981071705534969,-0.6231654898010675,3.0891610531824654e-06
0.5011872336272715,-0.5688548814350725,3.0122153651390704e-06
0.6309573444801929,-0.5134372589388931,2.709387877608549e-06
0.7943282347242805,-0.4592177054958029,2.249436831469609e-06
1.0,-0.4080320877912982,2.0377727460996198e-06
1.2589254117941662,-0.36121504585344155,2.0201436701228204e-06
1.5848931924611138,-0.31961165723464546,2.001519684213804e-06
1.9952623149688788,-0.2836254069052302,1.9120092664692834e-06
2.5118864315095766,-0.2532919745651725,1.8078978385460687e-06
3.1622776601683795,-0.22836700883703998,1.7472336040214032e-06
3.981071705534969,-0.20841614034361555,1.7355835941756936e-06
5.011872336272719,-0.1928972078303559,1.738451659072382e-06
6.30957344480193,-0.18122740068861276,1.7219992258787897e-06
7.943282347242812,-0.17283150038429085,1.6880594424506512e-06
10.0,-0.1671706448032637,1.651470895147611e-06
12.589254117941664,-0.16375411790158978,1.6316927968773598e-06
15.848931924611126,-0.1621386349711429,1.631969840154568e-06
19.95262314968879,-0.16192044377817183,1.6388176460324644e-06
25.118864315095795,-0.16272544842331627,1.6321736415747523e-06
31.622776601683796,-0.16420129606513,1.6176106942822344e-06
39.81071705534969,-0.1660137796509389,1.6023058089231768e-06
50.1187233627272,-0.16784792095677403,1.5949635416845354e-06
63.09573444801929,-0.16941261137344554,1.5983732826185815e-06
79.43282347242814,-0.17044659772750492,1.6077106810286068e-06
100.0,-0.1707233895012905,1.6084837026753007e-06
125.89254117941664,-0.17005313325626048,1.6089327079527038e-06
158.48931924611125,-0.1682804588401723,1.6016358808101927e-06
199.5262314968879,-0.16527862187194842,1.5986400487832952e-06
251.18864315095797,-0.16094126195457648,1.6060971415043923e-06
316.227766016838,-0.15517373461284478,1.6207101376508604e-06
398.10717055349687,-0.14788587026646383,1.637259740228103e-06
501.1872336272725,-0.13898716122400856,1.6404583300655418e-06
630.957344480193,-0.12838396508766436,1.6360659493841467e-06
794.3282347242813,-0.11597658850382686,1.6368608841688115e-06
1000.0,-0.10165256659252009,1.6569043612690848e-06
1258.9254117941662,-0.08527161735003119,1.6894650674004197e-06
1584.8931924611138,-0.06663762947869145,1.7271980707889156e-06
1995.2623149688789,-0.045454601908886616,1.7429194540952153e-06
2511.8864315095802,-0.02126573961845679,1.7425553835437313e-06
3162.2776601683795,0.006621516447353315,1.7550996656012785e-06
3981.0717055349733,0.039217900206267586,1.815414264250137e-06
5011.872336272725,0.07793170073409783,1.9209717585511044e-06
6309.57344480193,0.12463202559229103,2.0092680976802058e-06
7943.282347242814,0.1816812441024922,2.030170697331357e-06
10000.0,0.2519228501109865,2.047724890097413e-06
12589.254117941662,0.33861363267305933,2.2558979004827506e-06
15848.93192461114,0.4452939803625213,2.718308770965905e-06
19952.623149688792,0.5755965651346742,3.0212091717274348e-06
25118.864315095827,0.7330009444810912,3.0954527279192234e-06
31622.776601683792,0.9205488367219914,8.102261774389774e-06
